Clade	RGB
AY.129	rgb(21.45009416195857, 0.0, 233.54990583804144)
AY.13	rgb(21.610169491525426, 0.0, 233.38983050847457)
AY.131	rgb(21.77024482109228, 0.0, 233.2297551789077)
AY.132	rgb(21.930320150659135, 0.0, 233.06967984934087)
AY.133	rgb(22.09039548022599, 0.0, 232.909604519774)
AY.14	rgb(22.250470809792844, 0.0, 232.74952919020717)
AY.15	rgb(22.4105461393597, 0.0, 232.5894538606403)
AY.16	rgb(22.570621468926554, 0.0, 232.42937853107344)
AY.16.1	rgb(22.73069679849341, 0.0, 232.2693032015066)
AY.17	rgb(22.890772128060263, 0.0, 232.10922787193974)
AY.18	rgb(23.05084745762712, 0.0, 231.94915254237287)
AY.19	rgb(23.210922787193976, 0.0, 231.78907721280603)
AY.2	rgb(23.37099811676083, 0.0, 231.62900188323917)
AY.20	rgb(23.531073446327685, 0.0, 231.4689265536723)
AY.20.1	rgb(23.69114877589454, 0.0, 231.30885122410547)
AY.21	rgb(23.851224105461394, 0.0, 231.1487758945386)
AY.22	rgb(24.01129943502825, 0.0, 230.98870056497174)
AY.23	rgb(24.171374764595104, 0.0, 230.8286252354049)
AY.23.1	rgb(24.33145009416196, 0.0, 230.66854990583803)
AY.23.2	rgb(24.491525423728813, 0.0, 230.5084745762712)
AY.24	rgb(24.651600753295668, 0.0, 230.34839924670433)
AY.24.1	rgb(24.811676082862526, 0.0, 230.18832391713747)
AY.25	rgb(24.97175141242938, 0.0, 230.02824858757063)
AY.25.1	rgb(25.131826741996235, 0.0, 229.86817325800376)
AY.25.1.1	rgb(25.29190207156309, 0.0, 229.7080979284369)
AY.25.1.2	rgb(25.451977401129945, 0.0, 229.54802259887006)
AY.25.2	rgb(25.6120527306968, 0.0, 229.3879472693032)
AY.25.3	rgb(25.772128060263654, 0.0, 229.22787193973636)
AY.26	rgb(25.93220338983051, 0.0, 229.0677966101695)
AY.26.1	rgb(26.092278719397363, 0.0, 228.90772128060263)
AY.27	rgb(26.252354048964218, 0.0, 228.7476459510358)
AY.28	rgb(26.412429378531073, 0.0, 228.58757062146893)
AY.29	rgb(26.57250470809793, 0.0, 228.42749529190206)
AY.29.1	rgb(26.732580037664786, 0.0, 228.26741996233523)
AY.3	rgb(26.89265536723164, 0.0, 228.10734463276836)
AY.30	rgb(27.052730696798495, 0.0, 227.9472693032015)
AY.31	rgb(27.21280602636535, 0.0, 227.78719397363466)
AY.3.1	rgb(27.372881355932204, 0.0, 227.6271186440678)
AY.32	rgb(27.53295668549906, 0.0, 227.46704331450093)
AY.3.2	rgb(27.693032015065913, 0.0, 227.3069679849341)
AY.33	rgb(27.853107344632768, 0.0, 227.14689265536722)
AY.3.3	rgb(28.013182674199623, 0.0, 226.9868173258004)
AY.33.1	rgb(28.173258003766477, 0.0, 226.82674199623352)
AY.34	rgb(28.333333333333336, 0.0, 226.66666666666666)
AY.3.4	rgb(28.49340866290019, 0.0, 226.50659133709982)
AY.34.1	rgb(28.653483992467045, 0.0, 226.34651600753295)
AY.34.1.1	rgb(28.8135593220339, 0.0, 226.1864406779661)
AY.34.2	rgb(28.973634651600754, 0.0, 226.02636534839925)
AY.35	rgb(29.13370998116761, 0.0, 225.8662900188324)
AY.36	rgb(29.293785310734464, 0.0, 225.70621468926555)
AY.37	rgb(29.45386064030132, 0.0, 225.54613935969869)
AY.38	rgb(29.613935969868173, 0.0, 225.38606403013182)
AY.39	rgb(29.774011299435028, 0.0, 225.22598870056498)
AY.39.1	rgb(29.934086629001886, 0.0, 225.06591337099812)
AY.39.1.1	rgb(30.09416195856874, 0.0, 224.90583804143125)
AY.39.1.2	rgb(30.254237288135595, 0.0, 224.74576271186442)
AY.39.1.3	rgb(30.41431261770245, 0.0, 224.58568738229755)
AY.39.2	rgb(30.574387947269305, 0.0, 224.42561205273068)
AY.39.3	rgb(30.73446327683616, 0.0, 224.26553672316385)
